"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.280583816E1,6.501763833E1,2.556856667E1,-3.739255238E-1,1.113344193E0,3.506600037E2,2.000000000E0,3.900000095E0
4.381962523E1,6.501765167E1,2.556856167E1,-7.392895967E-2,1.128271103E0,3.587000122E2,2.000000000E0,3.900000095E0
4.480958423E1,6.501766833E1,2.556855500E1,2.606679205E-2,1.151433587E0,3.414700012E2,2.000000000E0,3.900000095E0
4.581607846E1,6.501768167E1,2.556854333E1,-7.393589739E-2,1.145771623E0,3.330700073E2,2.000000000E0,3.799999952E0
4.681756823E1,6.501768500E1,2.556853333E1,-8.739357765E-1,1.126726985E0,3.453999939E2,1.899999976E0,3.799999952E0
4.781140523E1,6.501770000E1,2.556852000E1,-1.373938779E0,1.123638630E0,3.454899902E2,2.000000000E0,3.799999952E0
4.881092393E1,6.501770833E1,2.556851000E1,-2.173940157E0,1.092240572E0,3.424500122E2,1.899999976E0,3.799999952E0
4.981227654E1,6.501771833E1,2.556850333E1,-2.173942408E0,1.131874204E0,3.463500061E2,2.000000000E0,3.799999952E0
5.080621039E1,6.501772667E1,2.556849833E1,-2.573944346E0,1.107167482E0,3.416400146E2,2.000000000E0,3.799999952E0
5.181727654E1,6.501773500E1,2.556849167E1,-2.673946098E0,1.094299436E0,1.769999981E0,2.000000000E0,3.799999952E0
5.280938331E1,6.501774000E1,2.556849000E1,-3.173947410E0,1.110770583E0,3.401300049E2,2.000000000E0,3.799999952E0
5.380835439E1,6.501775000E1,2.556849000E1,-3.173950408E0,1.053636432E0,3.328399963E2,1.899999976E0,3.799999952E0
5.480750977E1,6.501775667E1,2.556848833E1,-3.573952219E0,1.038709402E0,3.403800049E2,1.899999976E0,3.799999952E0
5.580567908E1,6.501777167E1,2.556848667E1,-3.573956529E0,1.018120527E0,3.471000061E2,1.899999976E0,3.799999952E0
5.680834116E1,6.501777833E1,2.556848667E1,-3.873958528E0,1.010914445E0,3.573299866E2,1.899999976E0,3.799999952E0
5.779552923E1,6.501779167E1,2.556848667E1,-3.773962524E0,1.007311344E0,3.009999990E0,2.000000000E0,3.799999952E0
5.877572585E1,6.501780667E1,2.556849167E1,-3.573967580E0,1.025326610E0,4.239999771E0,2.000000000E0,3.799999952E0
5.981640085E1,6.501782000E1,2.556849000E1,-3.173971390E0,1.016576409E0,3.480000000E2,2.000000000E0,3.799999952E0
6.080228577E1,6.501783500E1,2.556847833E1,-2.973974582E0,1.074740052E0,3.442999878E2,2.000000000E0,3.799999952E0
6.180829016E1,6.501785000E1,2.556847000E1,-2.473978146E0,1.095843554E0,3.460599976E2,2.000000000E0,3.799999952E0
6.280485846E1,6.501786167E1,2.556846333E1,-1.973980898E0,1.078857780E0,3.462699890E2,2.000000000E0,3.799999952E0
6.379696947E1,6.501787500E1,2.556846000E1,-2.173984522E0,1.120550275E0,2.210000038E0,2.000000000E0,3.700000048E0
6.481463877E1,6.501788667E1,2.556846000E1,-2.173988019E0,1.082975507E0,3.583599854E2,2.000000000E0,3.700000048E0
6.579933039E1,6.501789500E1,2.556845333E1,-1.973989772E0,1.097902536E0,7.030000210E0,2.000000000E0,3.799999952E0
6.680070000E1,6.501790167E1,2.556845167E1,-2.073991584E0,1.070107460E0,3.580100098E2,2.000000000E0,3.799999952E0
6.779632362E1,6.501791333E1,2.556844167E1,-2.073993963E0,1.076284170E0,3.447200012E2,2.000000000E0,3.700000048E0
6.881161224E1,6.501792500E1,2.556843167E1,-2.173996343E0,1.069078088E0,3.465799866E2,2.000000000E0,3.700000048E0
6.981179816E1,6.501793333E1,2.556842500E1,-2.473998096E0,1.038194776E0,3.523599854E2,1.899999976E0,3.700000048E0
7.080789970E1,6.501794000E1,2.556841500E1,-2.773998977E0,1.012458563E0,3.594500122E2,1.899999976E0,3.700000048E0
7.180829070E1,6.501795167E1,2.556841500E1,-2.674002475E0,1.029444456E0,3.527099915E2,2.000000000E0,3.799999952E0
7.280019200E1,6.501796333E1,2.556841167E1,-2.574005600E0,1.056210041E0,3.510499878E2,2.000000000E0,3.700000048E0
7.380832954E1,6.501797000E1,2.556840667E1,-2.374007040E0,1.040253639E0,3.587200012E2,1.899999976E0,3.700000048E0
7.480554208E1,6.501797167E1,2.556840500E1,-2.074007353E0,1.015032172E0,3.341000061E2,1.899999976E0,3.700000048E0
7.581700647E1,6.501797333E1,2.556840500E1,-1.774007853E0,9.440005422E-1,3.577099915E2,1.899999976E0,3.700000048E0
7.681007939E1,6.501797667E1,2.556840667E1,-1.574009039E0,8.842927814E-1,3.246900024E2,1.799999952E0,3.599999905E0
7.781612454E1,6.501797333E1,2.556840500E1,-1.874007853E0,7.813483477E-1,3.199200134E2,1.799999952E0,3.700000048E0
7.881058270E1,6.501797667E1,2.556840167E1,-2.074008480E0,7.211258411E-1,3.390400085E2,1.799999952E0,3.700000048E0
7.981809447E1,6.501798500E1,2.556839500E1,-1.974010233E0,7.324497104E-1,3.750000000E0,1.899999976E0,3.700000048E0
8.080981377E1,6.501799833E1,2.556839333E1,-2.174014045E0,7.782599926E-1,3.572500000E2,1.899999976E0,3.700000048E0
8.177878147E1,6.501800833E1,2.556838833E1,-2.674016485E0,8.029666543E-1,3.528800049E2,1.899999976E0,3.700000048E0
8.279700177E1,6.501802167E1,2.556837667E1,-2.974019179E0,8.534094691E-1,3.544899902E2,1.899999976E0,3.700000048E0
8.380883600E1,6.501803667E1,2.556836167E1,-3.074022001E0,9.383386374E-1,3.542200012E2,2.000000000E0,3.700000048E0
8.480281131E1,6.501805167E1,2.556835333E1,-3.374025568E0,1.058268905E0,3.568299866E2,2.000000000E0,3.700000048E0
8.580713600E1,6.501806333E1,2.556834667E1,-3.474028322E0,1.206508875E0,3.514599915E2,2.000000000E0,3.700000048E0
8.680290001E1,6.501808167E1,2.556834833E1,-3.474034005E0,1.362469673E0,3.560100098E2,2.000000000E0,3.700000048E0
8.780881716E1,6.501810000E1,2.556835000E1,-3.774039689E0,1.545710802E0,1.750000000E0,2.000000000E0,3.700000048E0
8.880959470E1,6.501812167E1,2.556835333E1,-3.874046558E0,1.704245329E0,3.499999940E-1,2.099999905E0,3.799999952E0
8.980418370E1,6.501813667E1,2.556835833E1,-3.474051614E0,1.758805871E0,3.533800049E2,2.099999905E0,3.799999952E0
9.080642647E1,6.501814333E1,2.556835500E1,-3.474053241E0,1.736672759E0,4.670000076E0,2.000000000E0,3.700000048E0
9.180928977E1,6.501815667E1,2.556835667E1,-2.974057426E0,1.737187505E0,8.500000238E-1,2.000000000E0,3.700000048E0
9.279918185E1,6.501817000E1,2.556836167E1,-2.874061982E0,1.758805871E0,3.596000061E2,2.000000000E0,3.700000048E0
9.380909470E1,6.501818833E1,2.556836500E1,-3.074067851E0,1.746967196E0,6.289999962E0,2.000000000E0,3.700000048E0
9.478174924E1,6.501820167E1,2.556837000E1,-3.174072407E0,1.700642228E0,1.029999971E0,2.000000000E0,3.700000048E0
9.580540270E1,6.501822500E1,2.556836833E1,-3.874079218E0,1.727922559E0,3.580100098E2,2.000000000E0,3.799999952E0
9.680469439E1,6.501825333E1,2.556837167E1,-3.874088085E0,1.760349989E0,3.565299988E2,2.000000000E0,3.799999952E0
9.781378362E1,6.501827500E1,2.556837167E1,-4.274094582E0,1.705789447E0,3.582900085E2,2.000000000E0,3.799999952E0
9.881078924E1,6.501829333E1,2.556837500E1,-4.374100451E0,1.684685826E0,3.541199951E2,2.000000000E0,3.700000048E0
9.980818301E1,6.501831500E1,2.556837667E1,-4.474107134E0,1.694980264E0,3.710000038E0,2.000000000E0,3.700000048E0
1.008065732E2,6.501833333E1,2.556838000E1,-4.774113002E0,1.724319458E0,4.050000191E0,2.000000000E0,3.700000048E0
1.018108197E2,6.501835500E1,2.556838000E1,-4.974119499E0,1.761894226E0,3.586300049E2,1.899999976E0,3.700000048E0
1.028025329E2,6.501837667E1,2.556837667E1,-4.974125624E0,1.740790606E0,1.750000000E0,1.899999976E0,3.700000048E0
1.037984544E2,6.501839167E1,2.556837167E1,-4.774129565E0,1.734099150E0,4.469999790E0,1.899999976E0,3.700000048E0
1.048008320E2,6.501840167E1,2.556837667E1,-4.674133120E0,1.796895266E0,5.039999962E0,1.899999976E0,3.700000048E0
1.058029748E2,6.501841333E1,2.556838833E1,-4.774137918E0,1.754688025E0,8.930000305E0,1.899999976E0,3.700000048E0
1.068002307E2,6.501842667E1,2.556839667E1,-4.974142845E0,1.740790606E0,2.450000048E0,1.899999976E0,3.700000048E0
1.077985482E2,6.501844000E1,2.556839500E1,-5.274146657E0,1.785571337E0,3.556900024E2,1.899999976E0,3.700000048E0
1.088093769E2,6.501845667E1,2.556839333E1,-5.474151468E0,1.774762273E0,3.591900024E2,2.000000000E0,3.700000048E0
1.098111473E2,6.501847167E1,2.556838667E1,-5.674155223E0,1.736158013E0,3.583099976E2,2.000000000E0,3.700000048E0
1.108154565E2,6.501848167E1,2.556838500E1,-6.274158036E0,1.717113376E0,5.940000057E0,1.899999976E0,3.700000048E0
1.118073772E2,6.501849333E1,2.556838833E1,-6.774161905E0,1.685200572E0,1.655999947E1,1.899999976E0,3.700000048E0
1.128090184E2,6.501850500E1,2.556839167E1,-7.274165774E0,1.673876643E0,7.570000172E0,1.899999976E0,3.700000048E0
