"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.844678062E1,7.000000030E-2,2.096999884E0,-1.189000010E0
3.845174247E1,7.400000095E-2,2.065999985E0,-1.057000041E0
3.845670409E1,2.140000015E-1,2.009000063E0,-1.197000027E0
3.846166593E1,4.099999964E-1,2.005000114E0,-1.406000018E0
3.846662770E1,5.920000076E-1,1.947999954E0,-1.531999946E0
3.847158954E1,8.970000148E-1,1.876000047E0,-1.508000016E0
3.847655139E1,1.009999990E0,1.819000006E0,-1.511000037E0
3.848151323E1,1.097000003E0,1.748000026E0,-1.593999982E0
3.848647484E1,1.047999978E0,1.662999988E0,-1.511999965E0
3.849143669E1,9.300000072E-1,1.741999984E0,-1.577999949E0
3.849639846E1,7.699999809E-1,1.848000050E0,-1.450999975E0
3.850136036E1,7.329999804E-1,1.953999996E0,-1.389999986E0
3.850632221E1,7.369999886E-1,2.252000093E0,-1.449000001E0
3.851128398E1,5.910000205E-1,2.671000004E0,-1.437999964E0
3.851624559E1,4.589999914E-1,3.036000013E0,-1.317000031E0
3.852120745E1,3.009999990E-1,3.456000090E0,-1.207000017E0
3.852616930E1,-8.600000292E-2,3.793999910E0,-1.136000037E0
3.853113107E1,-8.669999838E-1,4.035999775E0,-9.430000186E-1
3.853609300E1,-1.429999948E0,4.333000183E0,-5.730000138E-1
3.854105477E1,-1.746000051E0,4.248000145E0,-2.860000134E-1
3.854601662E1,-1.927000046E0,3.878000021E0,4.499999881E-1
3.855097823E1,-2.108999968E0,3.575000048E0,8.870000243E-1
3.855594001E1,-1.991999984E0,3.190999985E0,1.133000016E0
3.856090193E1,-1.562999964E0,2.984999895E0,1.353000045E0
3.856586370E1,-1.544000030E0,2.683000088E0,1.534000039E0
3.857082556E1,-1.376000047E0,2.437000036E0,1.414000034E0
3.857578740E1,-1.453999996E0,2.039999962E0,1.458999991E0
3.858074902E1,-1.532999992E0,1.588999987E0,1.855999947E0
3.858571086E1,-1.585000038E0,1.179000020E0,2.131000042E0
3.859067263E1,-1.707000017E0,7.149999738E-1,2.144999981E0
3.859563451E1,-1.828999996E0,2.919999957E-1,2.131999969E0
3.860059613E1,-1.763000011E0,-1.850000024E-1,2.227999926E0
3.860555819E1,-1.779999971E0,-2.129999995E-1,2.255000114E0
3.861051981E1,-1.702000022E0,-8.399999738E-1,1.776999950E0
3.861548165E1,-1.626000047E0,-9.350000024E-1,1.570999980E0
3.862044350E1,-1.386999965E0,-9.359999895E-1,1.378000021E0
3.862540504E1,-1.134999990E0,-9.359999895E-1,1.197000027E0
3.863036711E1,-1.074000001E0,-8.410000205E-1,1.162999988E0
3.863532871E1,-1.082000017E0,-6.639999747E-1,1.044999957E0
3.864029056E1,-1.021000028E0,-4.329999983E-1,8.159999847E-1
3.864525241E1,-1.042000055E0,-1.070000008E-1,8.429999948E-1
3.865021425E1,-1.144000053E0,0.000000000E0,8.000000119E-1
3.865517602E1,-1.218999982E0,2.029999942E-1,9.309999943E-1
3.866013765E1,-1.199000001E0,3.790000081E-1,1.088999987E0
3.866509949E1,-1.315000057E0,3.240000010E-1,9.589999914E-1
3.867006134E1,-1.200000048E0,3.230000138E-1,9.120000005E-1
3.867502318E1,-1.154000044E0,2.669999897E-1,8.370000124E-1
3.867998495E1,-1.026000023E0,2.800000012E-1,8.029999733E-1
3.868494680E1,-9.810000062E-1,2.660000026E-1,4.690000117E-1
3.868990865E1,-9.769999981E-1,1.560000032E-1,2.730000019E-1
3.869487026E1,-8.379999995E-1,-7.000000216E-3,2.809999883E-1
3.869983212E1,-7.810000181E-1,-2.389999926E-1,2.489999980E-1
3.870479397E1,-8.059999943E-1,-3.750000000E-1,3.260000050E-1
3.870975574E1,-6.690000296E-1,-4.850000143E-1,6.340000033E-1
3.871471760E1,-7.770000100E-1,-7.440000176E-1,6.819999814E-1
3.871967921E1,-7.229999900E-1,-9.890000224E-1,5.130000114E-1
3.872464106E1,-7.919999957E-1,-1.098000050E0,4.939999878E-1
3.872960288E1,-8.899999857E-1,-1.343000054E0,4.600000083E-1
3.873456473E1,-8.109999895E-1,-1.480000019E0,5.479999781E-1
3.873952649E1,-8.700000048E-1,-1.547999978E0,3.639999926E-1
3.874448833E1,-8.199999928E-1,-1.751999974E0,3.840000033E-1
3.874944995E1,-7.580000162E-1,-1.886999965E0,3.639999926E-1
3.875441181E1,-8.059999943E-1,-1.860000014E0,2.610000074E-1
3.875937366E1,-6.779999733E-1,-1.940999985E0,1.729999930E-1
3.876433543E1,-7.279999852E-1,-1.927000046E0,1.790000051E-1
3.876929727E1,-7.509999871E-1,-1.993999958E0,9.099999815E-2
3.877425912E1,-7.480000257E-1,-1.937999964E0,9.799999744E-2
3.877922073E1,-8.270000219E-1,-1.924000025E0,3.700000048E-2
3.878418258E1,-9.610000253E-1,-1.814000010E0,7.199999690E-2
3.878914443E1,-8.640000224E-1,-1.907999992E0,5.099999905E-2
3.879410620E1,-1.054000020E0,-1.879999995E0,-9.099999815E-2
3.879906804E1,-1.106999993E0,-1.850999951E0,-1.800000072E-1
3.880402964E1,-1.105999947E0,-1.904000044E0,-3.230000138E-1
3.880899148E1,-1.144999981E0,-1.917000055E0,-3.840000033E-1
3.881395337E1,-1.157999992E0,-2.010999918E0,-3.770000041E-1
3.881891522E1,-1.032999992E0,-1.914000034E0,-4.110000134E-1
3.882387698E1,-1.126999974E0,-1.953999996E0,-3.770000041E-1
3.882883859E1,-1.016000032E0,-1.898000002E0,-3.300000131E-1
3.883380044E1,-1.013000011E0,-1.952000022E0,-3.910000026E-1
3.883876230E1,-9.959999919E-1,-1.937000036E0,-3.709999919E-1
3.884372415E1,-1.088000059E0,-1.894999981E0,-5.289999843E-1
3.884868592E1,-1.233999968E0,-1.717000008E0,-4.819999933E-1
3.885364778E1,-1.133999944E0,-1.539000034E0,-5.040000081E-1
3.885860962E1,-1.277999997E0,-1.592000008E0,-6.620000005E-1
3.886357124E1,-1.340999961E0,-1.468999982E0,-5.749999881E-1
3.886853308E1,-1.320999980E0,-1.481999993E0,-5.429999828E-1
3.887349495E1,-1.327999949E0,-1.276999950E0,-4.300000072E-1
3.887845671E1,-1.335000038E0,-1.358000040E0,-3.970000148E-1
3.888341856E1,-1.164000034E0,-1.356999993E0,-5.559999943E-1
3.888838019E1,-1.184000015E0,-1.302000046E0,-6.320000291E-1
3.889334204E1,-1.175999999E0,-1.478000045E0,-7.900000215E-1
3.889830389E1,-9.769999981E-1,-1.491000056E0,-9.480000138E-1
3.890326573E1,-1.064000010E0,-1.503999949E0,-5.749999881E-1
3.890822750E1,-9.060000181E-1,-1.639999986E0,-7.189999819E-1
3.891318935E1,-9.250000119E-1,-1.694000006E0,-7.799999714E-1
3.891815096E1,-9.160000086E-1,-1.557000041E0,-5.009999871E-1
3.892311281E1,-8.790000081E-1,-1.460999966E0,-6.029999852E-1
3.892807466E1,-8.149999976E-1,-1.447000027E0,-6.219999790E-1
3.893303646E1,-7.910000086E-1,-1.324000001E0,-7.500000000E-1
3.893799830E1,-9.440000057E-1,-1.228000045E0,-8.230000138E-1
3.894296015E1,-1.136999965E0,-1.077999949E0,-8.820000291E-1
3.894792176E1,-1.248000026E0,-1.036999941E0,-9.139999747E-1
3.895288361E1,-1.264999986E0,-8.320000172E-1,-1.014000058E0
3.895784546E1,-1.172000051E0,-8.180000186E-1,-8.690000176E-1
3.896280722E1,-9.309999943E-1,-6.409999728E-1,-1.024999976E0
3.896776907E1,-8.529999852E-1,-4.219999909E-1,-1.016999960E0
3.897273069E1,-9.390000105E-1,-2.310000062E-1,-1.009999990E0
3.897769246E1,-1.078999996E0,1.500000060E-1,-1.016000032E0
3.898265440E1,-1.205999970E0,9.600000083E-2,-1.213000059E0
3.898761624E1,-9.380000234E-1,2.460000068E-1,-1.258999944E0
3.899257803E1,-9.700000286E-1,4.239999950E-1,-1.113999963E0
3.899753987E1,-1.014999986E0,6.290000081E-1,-1.120000005E0
3.900250149E1,-1.373999953E0,9.430000186E-1,-1.098999977E0
3.900746331E1,-1.514000058E0,1.106999993E0,-1.077000022E0
3.901242508E1,-1.534000039E0,1.312000036E0,-1.095999956E0
3.901738693E1,-1.417000055E0,1.490000010E0,-8.970000148E-1
3.902234854E1,-1.261999965E0,1.804000020E0,-9.300000072E-1
3.902731062E1,-9.570000172E-1,1.886999965E0,-9.219999909E-1
3.903227223E1,-7.070000172E-1,2.147000074E0,-8.730000257E-1
3.903723408E1,-4.990000129E-1,2.325999975E0,-1.054000020E0
3.904219584E1,-4.550000131E-1,2.259000063E0,-1.154000044E0
3.904715745E1,-3.420000076E-1,2.342000008E0,-1.320999980E0
3.905211929E1,-3.790000081E-1,2.480000019E0,-1.230000019E0
3.905708114E1,-3.619999886E-1,2.658999920E0,-1.328999996E0
3.906204291E1,-5.770000219E-1,2.700999975E0,-1.332999945E0
3.906700482E1,-6.010000110E-1,2.770999908E0,-1.376999974E0
3.907196659E1,-7.350000143E-1,2.759000063E0,-1.421000004E0
3.907692819E1,-6.639999747E-1,2.802000046E0,-1.396000028E0
3.908189003E1,-7.039999962E-1,2.680999994E0,-1.409999967E0
3.908685180E1,-6.489999890E-1,2.723999977E0,-1.396000028E0
3.909181363E1,-5.540000200E-1,2.549000025E0,-1.353000045E0
3.909677548E1,-4.880000055E-1,2.470000029E0,-1.266999960E0
3.910173709E1,-4.760000110E-1,2.349999905E0,-1.465000033E0
3.910669894E1,-2.890000045E-1,2.270999908E0,-1.444000006E0
3.911166080E1,-1.159999967E-1,2.437000036E0,-1.366000056E0
3.911662256E1,-1.200000010E-2,2.698999882E0,-1.368000031E0
3.912158441E1,2.399999946E-1,2.960999966E0,-1.164000034E0
3.912654623E1,4.659999907E-1,3.319000006E0,-1.149999976E0
3.913150784E1,6.230000257E-1,3.663000107E0,-8.899999857E-1
3.913646968E1,4.819999933E-1,3.993000031E0,-6.039999723E-1
3.914143144E1,2.870000005E-1,3.956000090E0,-2.370000035E-1
3.914639329E1,-1.659999937E-1,3.700000048E0,3.860000074E-1
3.915135515E1,-5.370000005E-1,3.253999949E0,8.190000057E-1
3.915631699E1,-4.320000112E-1,2.999000072E0,1.631999969E0
3.916127860E1,-4.370000064E-1,2.388999939E0,1.751999974E0
3.916624045E1,-4.410000145E-1,2.325000048E0,1.682000041E0
3.917120221E1,-2.960000038E-1,2.246999979E0,1.531000018E0
3.917616406E1,-2.179999948E-1,2.114000082E0,1.406999946E0
3.918112590E1,-2.360000014E-1,1.832000017E0,1.539999962E0
3.918608752E1,-4.569999874E-1,1.590000033E0,1.820999980E0
3.919104929E1,-7.730000019E-1,1.047999978E0,1.965000033E0
3.919601121E1,-9.250000119E-1,6.019999981E-1,1.985000014E0
3.920097298E1,-9.269999862E-1,2.380000055E-1,2.030999899E0
3.920593483E1,-8.619999886E-1,-1.700000092E-2,2.118000031E0
3.921089645E1,-5.659999847E-1,-4.350000024E-1,2.081000090E0
3.921585828E1,-3.249999881E-1,-5.680000186E-1,1.894000053E0
3.922082013E1,-3.289999962E-1,-8.629999757E-1,1.827999949E0
3.922578191E1,-2.109999955E-1,-7.509999871E-1,1.746999979E0
3.923074376E1,-9.200000018E-2,-8.289999962E-1,1.516000032E0
3.923570560E1,1.080000028E-1,-7.839999795E-1,1.256000042E0
3.924066721E1,1.870000064E-1,-5.899999738E-1,1.253999949E0
3.924562906E1,2.669999897E-1,-5.460000038E-1,1.304999948E0
3.925059084E1,1.850000024E-1,-3.799999952E-1,1.435999990E0
3.925555269E1,1.720000058E-1,-2.680000067E-1,1.550999999E0
3.926051430E1,2.280000001E-1,-3.199999928E-1,1.514999986E0
3.926547615E1,1.490000039E-1,-2.489999980E-1,1.532999992E0
3.927043792E1,1.700000092E-2,-2.339999974E-1,1.495000005E0
3.927539976E1,-2.619999945E-1,-1.909999996E-1,1.633000016E0
3.928036161E1,-4.729999900E-1,-1.770000011E-1,1.320999980E0
3.928532346E1,-5.199999809E-1,-1.620000005E-1,1.268000007E0
3.929028506E1,-5.389999747E-1,5.600000173E-2,1.159999967E0
3.929524691E1,-5.590000153E-1,1.529999971E-1,1.243000031E0
3.930020868E1,-4.819999933E-1,2.360000014E-1,1.162999988E0
3.930517051E1,-4.729999900E-1,3.190000057E-1,1.123000026E0
3.931013212E1,-4.370000064E-1,4.420000017E-1,1.072000027E0
3.931509397E1,-5.360000134E-1,3.339999914E-1,1.225000024E0
3.932005582E1,-7.039999962E-1,3.490000069E-1,1.024999976E0
3.932501767E1,-7.749999762E-1,1.040000021E-1,1.085999966E0
3.932997944E1,-9.279999733E-1,2.300000004E-2,1.037999988E0
3.933494128E1,-8.769999743E-1,-2.469999939E-1,1.100999951E0
3.933990288E1,-8.669999838E-1,-4.099999964E-1,1.110000014E0
3.934486472E1,-8.709999919E-1,-5.860000253E-1,1.052000046E0
3.934982657E1,-9.279999733E-1,-7.760000229E-1,8.999999762E-1
3.935478831E1,-9.319999814E-1,-8.029999733E-1,7.620000243E-1
3.935975015E1,-8.659999967E-1,-9.520000219E-1,4.329999983E-1
3.936471177E1,-1.046000004E0,-1.128000021E0,3.770000041E-1
3.936967362E1,-1.129999995E0,-1.195999980E0,7.500000298E-2
3.937463539E1,-1.226999998E0,-1.453999996E0,-1.030000001E-1
3.937959732E1,-1.174000025E0,-1.508000016E0,-2.689999938E-1
3.938455884E1,-1.052000046E0,-1.562999964E0,-2.730000019E-1
3.938952092E1,-9.720000029E-1,-1.603000045E0,-3.050000072E-1
3.939448254E1,-9.860000014E-1,-1.684999943E0,-3.910000026E-1
3.939944431E1,-9.179999828E-1,-1.725999951E0,-4.370000064E-1
3.940440616E1,-8.909999728E-1,-1.779999971E0,-4.300000072E-1
3.940936800E1,-7.409999967E-1,-1.848000050E0,-3.269999921E-1
3.941432961E1,-6.449999809E-1,-1.835000038E0,-3.479999900E-1
3.941929146E1,-5.770000219E-1,-1.861999989E0,-2.610000074E-1
3.942425323E1,-4.670000076E-1,-1.848999977E0,-1.879999936E-1
3.942921506E1,-3.840000033E-1,-1.848999977E0,-2.240000069E-1
3.943417690E1,-3.689999878E-1,-1.794000030E0,-2.199999988E-1
3.943913852E1,-3.140000105E-1,-1.753999949E0,-2.709999979E-1
3.944410036E1,-2.720000148E-1,-1.618000031E0,-2.540000081E-1
3.944906220E1,-1.620000005E-1,-1.536000013E0,-2.779999971E-1
3.945402396E1,-1.879999936E-1,-1.345000029E0,-2.469999939E-1
3.945898581E1,-2.000000030E-1,-1.250000000E0,-1.609999985E-1
3.946394765E1,-3.350000083E-1,-1.072999954E0,-1.710000038E-1
3.946890918E1,-2.240000069E-1,-9.100000262E-1,-1.809999943E-1
3.947387111E1,-2.500000000E-1,-8.970000148E-1,-1.209999993E-1
3.947883288E1,-2.349999994E-1,-8.289999962E-1,-1.979999989E-1
3.948379473E1,-3.689999878E-1,-7.480000257E-1,-2.210000008E-1
3.948875658E1,-3.160000145E-1,-7.369999886E-1,-5.000000075E-2
3.949371843E1,-4.490000010E-1,-5.740000010E-1,-1.899999939E-2
3.949867996E1,-6.510000229E-1,-7.509999871E-1,-1.089999974E-1
3.950364183E1,-3.359999955E-1,-6.430000067E-1,-1.990000010E-1
3.950860345E1,-5.149999857E-1,-8.119999766E-1,-3.819999993E-1
3.951356553E1,-4.550000131E-1,-8.820000291E-1,-6.159999967E-1
3.951852715E1,-4.810000062E-1,-1.141000032E0,-5.799999833E-1
3.952348890E1,-5.059999824E-1,-1.059000015E0,-2.709999979E-1
3.952845075E1,-5.759999752E-1,-1.174999952E0,-3.810000122E-1
3.953341260E1,-4.090000093E-1,-1.325000048E0,-6.930000186E-1
3.953837422E1,-3.140000105E-1,-1.284000039E0,-8.569999933E-1
3.954333606E1,-3.000000119E-1,-1.230000019E0,-7.749999762E-1
3.954829792E1,-1.080000028E-1,-1.187000036E0,-7.429999709E-1
3.955325969E1,-2.049999982E-1,-1.105000019E0,-8.299999833E-1
3.955822153E1,3.799999952E-1,-1.514000058E0,-2.013999939E0
3.956318338E1,-4.079999924E-1,-7.789999843E-1,-3.370000124E-1
3.956814499E1,-3.600000143E-1,-4.830000103E-1,2.800000086E-2
3.957310685E1,-3.280000091E-1,-5.659999847E-1,-4.059999883E-1
3.957806862E1,-2.700000107E-1,-4.449999928E-1,-6.079999804E-1
3.958303046E1,-3.070000112E-1,-1.729999930E-1,-5.780000091E-1
3.958799208E1,-1.550000012E-1,-4.100000113E-2,-7.279999852E-1
3.959295392E1,-3.379999995E-1,4.199999869E-1,-8.149999976E-1
3.959791576E1,-3.300000131E-1,7.170000076E-1,-3.919999897E-1
3.960287760E1,-3.199999928E-1,9.200000167E-1,-2.809999883E-1
3.960783937E1,-3.370000124E-1,1.108000040E0,-1.110000014E0
3.961280123E1,-2.569999993E-1,1.296000004E0,-1.203999996E0
3.961776285E1,3.400000036E-1,1.375000000E0,-2.359999895E0
3.962272470E1,-4.350000024E-1,1.766999960E0,-2.220000029E-1
3.962768646E1,-3.900000080E-2,1.914000034E0,-2.249999940E-1
3.963264830E1,2.489999980E-1,1.802000046E0,-1.003000021E0
3.963760992E1,2.919999957E-1,2.071000099E0,-1.180999994E0
3.964257178E1,5.820000172E-1,2.407999992E0,-1.128000021E0
3.964753363E1,8.169999719E-1,2.608000040E0,-8.439999819E-1
3.965249540E1,7.129999995E-1,2.822999954E0,-9.010000229E-1
3.965745724E1,8.410000205E-1,2.859999895E0,-9.440000057E-1
3.966241908E1,7.929999828E-1,2.882999897E0,-1.095000029E0
3.966738070E1,8.270000219E-1,2.783999920E0,-1.095000029E0
3.967234253E1,8.199999928E-1,2.752000093E0,-1.312000036E0
3.967730430E1,7.720000148E-1,2.762000084E0,-9.959999919E-1
3.968226615E1,9.409999847E-1,2.677000046E0,-1.263000011E0
3.968722775E1,9.729999900E-1,2.496000051E0,-1.445999980E0
3.969218960E1,1.046000004E0,2.207000017E0,-1.366000056E0
3.969715137E1,1.144000053E0,2.135999918E0,-1.366000056E0
3.970211328E1,1.159000039E0,2.187000036E0,-1.294999957E0
3.970707505E1,1.036999941E0,2.157999992E0,-1.151999950E0
3.971203692E1,1.050999999E0,2.290999889E0,-1.291000009E0
3.971699854E1,7.379999757E-1,2.506999969E0,-1.386999965E0
3.972196033E1,5.189999938E-1,2.736999989E0,-1.274999976E0
3.972692217E1,1.920000017E-1,2.844000101E0,-1.378999949E0
3.973188406E1,-2.700000107E-1,3.019000053E0,-1.059000015E0
3.973684567E1,-6.790000200E-1,3.167000055E0,-9.430000186E-1
3.974180752E1,-9.240000248E-1,3.342999935E0,-5.540000200E-1
3.974676936E1,-1.018000007E0,3.477999926E0,-4.300000146E-2
3.975173113E1,-1.003999949E0,3.585000038E0,1.679999977E-1
3.975669275E1,-1.098000050E0,3.665999889E0,5.429999828E-1
3.976165459E1,-1.286000013E0,3.677999973E0,3.729999959E-1
3.976661644E1,-1.309999943E0,3.786000013E0,2.969999909E-1
3.977157828E1,-1.429999948E0,3.566999912E0,3.970000148E-1
3.977654005E1,-1.549000025E0,3.306999922E0,1.009999990E0
3.978150189E1,-1.409999967E0,2.788000107E0,1.689000010E0
3.978646351E1,-1.340000033E0,2.160000086E0,2.296999931E0
3.979142528E1,-1.407999992E0,1.315000057E0,2.454999924E0
3.979638713E1,-1.516999960E0,6.060000062E-1,2.489000082E0
3.980134897E1,-1.437000036E0,-6.100000069E-2,2.319000006E0
3.980631058E1,-1.496000051E0,-7.969999909E-1,2.053999901E0
3.981127243E1,-1.310999990E0,-1.342000008E0,1.925999999E0
3.981623427E1,-1.195999980E0,-1.750000000E0,1.754999995E0
3.982119606E1,-1.014000058E0,-1.952999949E0,1.488999963E0
3.982615790E1,-9.279999733E-1,-1.939000010E0,1.031000018E0
3.983111973E1,-1.019999981E0,-1.883999944E0,7.490000129E-1
3.983608134E1,-9.900000095E-1,-1.815000057E0,4.639999866E-1
3.984104321E1,-1.095000029E0,-1.651000023E0,1.369999945E-1
3.984600498E1,-1.064000010E0,-1.378000021E0,1.059999987E-1
3.985096661E1,-1.113999963E0,-9.700000286E-1,1.539999992E-1
3.985592846E1,-1.108999968E0,-6.710000038E-1,2.939999998E-1
3.986089022E1,-1.021000028E0,-2.080000043E-1,4.589999914E-1
3.986585208E1,-9.869999886E-1,2.099999972E-2,6.340000033E-1
3.987081393E1,-9.530000091E-1,3.059999943E-1,6.980000138E-1
3.987577577E1,-8.640000224E-1,4.399999976E-1,7.599999905E-1
3.988073739E1,-8.149999976E-1,7.110000253E-1,7.810000181E-1
3.988569923E1,-7.379999757E-1,7.639999986E-1,6.919999719E-1
3.989066100E1,-7.289999723E-1,6.119999886E-1,6.710000038E-1
3.989562285E1,-7.879999876E-1,5.009999871E-1,5.680000186E-1
3.990058470E1,-8.199999928E-1,3.639999926E-1,3.980000019E-1
3.990554629E1,-8.669999838E-1,1.030000001E-1,2.820000052E-1
3.991050814E1,-8.320000172E-1,-4.699999839E-2,1.250000000E-1
3.991546998E1,-7.850000262E-1,-3.750000000E-1,3.100000024E-1
3.992043151E1,-7.799999714E-1,-7.440000176E-1,1.410000026E-1
3.992539358E1,-6.800000072E-1,-1.085999966E0,1.089999974E-1
3.993035512E1,-6.090000272E-1,-1.440999985E0,3.490000069E-1
3.993531705E1,-5.659999847E-1,-1.685999990E0,3.300000131E-1
3.994027882E1,-5.649999976E-1,-1.986999989E0,5.299999714E-1
3.994524043E1,-7.689999938E-1,-2.069000006E0,6.740000248E-1
3.995020228E1,-7.699999809E-1,-2.299999952E0,1.036999941E0
3.995516412E1,-5.410000086E-1,-2.328000069E0,7.999999821E-2
3.996012596E1,-8.439999819E-1,-2.517999887E0,2.800000012E-1
3.996508773E1,-1.011000037E0,-2.640000105E0,7.110000253E-1
3.997004957E1,-1.001999974E0,-2.721999884E0,5.970000029E-1
3.997501119E1,-1.131000042E0,-2.680999994E0,5.509999990E-1
3.997997303E1,-1.258999944E0,-2.571000099E0,6.129999757E-1
3.998493488E1,-1.335000038E0,-2.638999939E0,4.709999859E-1
3.998989665E1,-1.452000022E0,-2.487999916E0,6.690000296E-1
3.999485849E1,-1.447000027E0,-2.460000038E0,6.480000019E-1
3.999982034E1,-1.360999942E0,-2.540999889E0,6.269999743E-1
4.000478188E1,-1.493999958E0,-2.362999916E0,4.819999933E-1
4.000974375E1,-1.381999969E0,-2.240000010E0,3.240000010E-1
4.001470536E1,-1.297000051E0,-2.142999887E0,1.369999945E-1
4.001966721E1,-1.335000038E0,-1.965000033E0,3.170000017E-1
4.002462907E1,-1.358999968E0,-1.718999982E0,3.610000014E-1
4.002959084E1,-1.368000031E0,-1.690999985E0,6.400000304E-2
4.003455268E1,-1.309000015E0,-1.485999942E0,-8.299999684E-2
4.003951453E1,-1.222000003E0,-1.376999974E0,-1.340000033E-1
4.004447614E1,-1.310999990E0,-1.199000001E0,-1.870000064E-1
4.004943798E1,-1.276000023E0,-1.103999972E0,-1.019999981E-1
4.005439983E1,-1.376999974E0,-1.131000042E0,-1.000000015E-1
4.005936160E1,-1.177999973E0,-8.169999719E-1,1.070000008E-1
4.006432343E1,-1.195999980E0,-8.849999905E-1,-1.749999970E-1
4.006928505E1,-1.077999949E0,-8.579999804E-1,-1.570000052E-1
4.007424682E1,-1.149000049E0,-7.490000129E-1,-4.500000179E-2
4.007920866E1,-1.220000029E0,-8.169999719E-1,1.400000043E-2
4.008417051E1,-1.263000011E0,-7.080000043E-1,-2.389999926E-1
4.008913212E1,-1.319000006E0,-8.579999804E-1,-2.189999968E-1
4.009409397E1,-1.416000009E0,-8.709999919E-1,-2.259999961E-1
4.009905574E1,-1.417999983E0,-9.800000191E-1,-3.689999878E-1
4.010401759E1,-1.406000018E0,-9.800000191E-1,-4.550000131E-1
4.010897921E1,-1.312000036E0,-1.075999975E0,-3.639999926E-1
4.011394107E1,-1.231999993E0,-9.940000176E-1,-3.799999952E-1
4.011890284E1,-1.029999971E0,-7.760000229E-1,-3.959999979E-1
4.012386470E1,-1.019000053E0,-6.800000072E-1,-3.689999878E-1
4.012882655E1,-1.008000016E0,-6.250000000E-1,-5.180000067E-1
4.013378812E1,-7.649999857E-1,-5.970000029E-1,-7.739999890E-1
4.013874997E1,-1.177000046E0,-5.970000029E-1,-1.098000050E0
4.014371174E1,-7.030000091E-1,-2.280000001E-1,-9.459999800E-1
4.014867359E1,-9.100000262E-1,-2.000000030E-1,-9.840000272E-1
4.015363544E1,-8.719999790E-1,-9.099999815E-2,-1.241000056E0
4.015859706E1,-8.069999814E-1,-5.000000075E-2,-1.348000050E0
4.016355891E1,-7.829999924E-1,5.900000036E-2,-1.210000038E0
4.016852076E1,-7.860000134E-1,3.200000152E-2,-1.115000010E0
4.017348230E1,-7.630000114E-1,2.779999971E-1,-1.113999963E0
4.017844414E1,-6.449999809E-1,4.830000103E-1,-8.420000076E-1
4.018340594E1,-7.870000005E-1,5.519999862E-1,-7.749999762E-1
4.018836778E1,-6.290000081E-1,7.850000262E-1,-7.879999876E-1
4.019332965E1,-5.950000286E-1,9.219999909E-1,-9.250000119E-1
4.019829126E1,-6.159999967E-1,1.167999983E0,-8.980000019E-1
4.020325309E1,-7.879999876E-1,1.386999965E0,-9.539999962E-1
4.020821492E1,-8.640000224E-1,1.511000037E0,-1.077000022E0
4.021317669E1,-9.139999747E-1,1.634999990E0,-1.172000051E0
4.021813854E1,-7.879999876E-1,1.840999961E0,-1.363000035E0
4.022310038E1,-6.349999905E-1,1.952000022E0,-1.376999974E0
4.022806192E1,-5.230000019E-1,2.062999964E0,-1.389999986E0
4.023302384E1,-5.879999995E-1,2.296000004E0,-1.457999945E0
4.023798560E1,-5.989999771E-1,2.298000097E0,-1.458999991E0
4.024294722E1,-4.469999969E-1,2.368000031E0,-1.322999954E0
4.024790906E1,-4.050000012E-1,2.532999992E0,-1.215000033E0
4.025287091E1,-3.770000041E-1,2.576999903E0,-1.187999964E0
4.025783268E1,-4.860000014E-1,2.470000029E0,-1.106999993E0
4.026279451E1,-5.540000200E-1,2.553999901E0,-1.078999996E0
4.026775613E1,-5.550000072E-1,2.298000097E0,-1.090999961E0
4.027271798E1,-6.660000086E-1,2.137000084E0,-1.210000038E0
4.027767975E1,-6.150000095E-1,2.127000093E0,-1.286999941E0
4.028264138E1,-5.640000105E-1,1.858000040E0,-1.470999956E0
4.028760322E1,-4.880000055E-1,1.902999997E0,-1.381000042E0
4.029256507E1,-3.720000088E-1,2.029999971E0,-1.508000016E0
4.029752692E1,-2.430000007E-1,1.965999961E0,-1.646999955E0
4.030248869E1,-7.400000095E-2,2.216000080E0,-1.853000045E0
4.030745052E1,1.620000005E-1,2.615999937E0,-1.621999979E0
4.031241213E1,4.390000105E-1,2.934000015E0,-1.185999990E0
4.031737399E1,6.349999905E-1,3.525000095E0,-5.460000038E-1
4.032233584E1,4.230000079E-1,4.019999981E0,2.400000021E-2
4.032729737E1,7.699999809E-1,4.732999802E0,9.200000167E-1
4.033225945E1,2.329999954E-1,5.065000057E0,1.080000043E0
4.033722106E1,-2.750000060E-1,5.245999813E0,1.455999970E0
4.034218291E1,-5.519999862E-1,5.196000099E0,1.761999965E0
4.034714468E1,-1.100000024E0,4.804999828E0,2.095999956E0
4.035210629E1,-1.430999994E0,4.140999794E0,2.661000013E0
4.035706814E1,-1.121999979E0,3.273999929E0,3.157999992E0
4.036202996E1,-1.208999991E0,2.706000090E0,2.786000013E0
4.036699172E1,-1.213999987E0,2.071000099E0,2.279000044E0
4.037195357E1,-1.218999982E0,1.435999990E0,1.815000057E0
4.037691542E1,-1.034999967E0,7.599999905E-1,1.595000029E0
4.038187726E1,-9.739999771E-1,1.120000035E-1,1.659999967E0
4.038683886E1,-8.460000157E-1,-4.269999862E-1,1.927000046E0
