"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.974616110E-1,2.934999943E0,-3.957000017E0,1.472000003E0
5.024237650E-1,3.129999936E-1,-4.499000072E0,1.315000057E0
5.073859190E-1,-6.499999762E-2,-3.552000046E0,2.336999893E0
5.123483130E-1,4.839999974E-1,-3.773999929E0,4.364999771E0
5.173105440E-1,4.920000136E-1,-4.960000038E0,4.257999897E0
5.222726980E-1,-1.190000027E-1,-5.443999767E0,3.464999914E0
5.272350960E-1,-9.599999785E-1,-4.934000015E0,2.244999886E0
5.321972500E-1,-1.547000051E0,-4.395999908E0,1.098000050E0
5.371594040E-1,-1.416000009E0,-3.950999975E0,6.069999933E-1
5.421216350E-1,7.800000161E-2,-3.407000065E0,1.763000011E0
5.470837890E-1,2.023000002E0,-2.845000029E0,3.243999958E0
5.520461920E-1,3.025000095E0,-2.690999985E0,3.937999964E0
5.570084230E-1,3.520999908E0,-2.878000021E0,3.710000038E0
5.619705000E-1,3.198999882E0,-2.522000074E0,3.242000103E0
5.669327360E-1,2.650000095E0,-2.234999895E0,2.628000021E0
5.718951210E-1,1.914000034E0,-2.305000067E0,1.636000037E0
5.768572740E-1,1.718999982E0,-2.306999922E0,8.619999886E-1
5.818195000E-1,1.315000057E0,-2.516000032E0,3.400000185E-2
5.867818850E-1,9.269999862E-1,-2.535000086E0,-4.269999862E-1
5.917440150E-1,6.250000000E-1,-2.474999905E0,-9.179999828E-1
5.967061690E-1,6.639999747E-1,-2.321000099E0,-1.100000024E0
6.016683990E-1,8.980000019E-1,-2.167999983E0,-1.052000046E0
6.066305340E-1,1.424000025E0,-2.055000067E0,-9.800000191E-1
6.115929190E-1,2.259000063E0,-1.899999976E0,9.799999744E-2
6.165550820E-1,3.108999968E0,-1.743000031E0,1.366000056E0
6.215172360E-1,3.486000061E0,-1.682000041E0,1.899999976E0
6.264794660E-1,3.907999992E0,-1.634999990E0,1.851999998E0
6.314418510E-1,3.982000113E0,-1.657999992E0,1.712000012E0
6.364040050E-1,4.196000099E0,-1.748000026E0,1.274999976E0
6.413661590E-1,6.443999767E0,-1.689000010E0,1.016999960E0
6.463283890E-1,6.118000031E0,-1.817999959E0,1.343000054E0
6.512907740E-1,5.614999771E0,-1.807999969E0,1.641999960E0
6.562529280E-1,5.605000019E0,-1.904000044E0,1.748999953E0
6.612151450E-1,5.534999847E0,-2.013000011E0,1.669999957E0
6.661772990E-1,5.255000114E0,-2.187999964E0,1.279999971E0
6.711394570E-1,4.953000069E0,-2.322000027E0,7.839999795E-1
6.761018420E-1,4.258999825E0,-2.440000057E0,3.980000019E-1
6.810639960E-1,3.769000053E0,-2.338000059E0,-5.499999970E-2
6.860262170E-1,3.204999924E0,-2.466000080E0,-4.990000129E-1
6.909886010E-1,2.362999916E0,-2.403000116E0,-8.500000238E-1
6.959505380E-1,1.514999986E0,-2.434000015E0,-9.319999814E-1
7.009129230E-1,7.250000238E-1,-2.395999908E0,-8.970000148E-1
7.058751700E-1,-6.019999981E-1,-2.344000101E0,-7.580000162E-1
7.108373240E-1,-2.183000088E0,-2.303999901E0,-5.000000000E-1
7.157997080E-1,-3.141999960E0,-2.155999899E0,-5.709999800E-1
7.207619390E-1,-3.684999943E0,-1.927999973E0,-4.810000062E-1
7.257240930E-1,-3.319000006E0,-1.782999992E0,-5.690000057E-1
7.306862610E-1,-2.290999889E0,-2.170000076E0,-7.950000167E-1
7.356486450E-1,-7.779999971E-1,-2.598999977E0,-8.870000243E-1
7.406107990E-1,1.093999982E0,-2.727999926E0,-7.789999843E-1
7.455730590E-1,1.912999988E0,-2.964999914E0,-7.710000277E-1
7.505352130E-1,2.115000010E0,-2.450000048E0,-8.360000253E-1
7.554973670E-1,2.026000023E0,-2.164000034E0,-4.009999931E-1
7.604597600E-1,1.975000024E0,-1.944000006E0,-1.330000013E-1
7.654219910E-1,2.138999939E0,-2.131000042E0,-1.800000072E-1
7.703841360E-1,2.302000046E0,-2.085999966E0,-1.889999956E-1
7.753465210E-1,2.282999992E0,-2.148000002E0,7.100000232E-2
7.803086750E-1,2.289000034E0,-2.059000015E0,3.289999962E-1
7.852708180E-1,2.470000029E0,-2.118000031E0,9.390000105E-1
7.902330490E-1,4.407999992E0,-1.074000001E0,5.279999971E-1
7.951954340E-1,3.361000061E0,-2.275000095E0,1.980000019E0
8.001575930E-1,2.970999956E0,-2.657999992E0,1.131000042E0
8.051197460E-1,2.431999922E0,-2.645999908E0,1.549999952E0
8.100819190E-1,2.209000111E0,-2.605000019E0,1.697000027E0
8.150441500E-1,2.003000021E0,-2.551000118E0,1.751000047E0
8.200065350E-1,2.049999952E0,-2.305999994E0,1.603999972E0
8.249686940E-1,2.276999950E0,-2.128999949E0,1.294999957E0
8.299308470E-1,2.275000095E0,-2.006000042E0,9.739999771E-1
8.348930780E-1,2.328999996E0,-2.099999905E0,9.929999709E-1
8.398554720E-1,2.302000046E0,-2.220000029E0,6.439999938E-1
8.448176260E-1,2.071000099E0,-2.269999981E0,4.429999888E-1
8.497798670E-1,1.866999984E0,-2.141000032E0,4.729999900E-1
8.547420200E-1,1.677000046E0,-2.092000008E0,2.689999938E-1
8.597041740E-1,1.552999973E0,-2.013999939E0,5.000000075E-2
8.646665590E-1,1.495000005E0,-1.975000024E0,-3.880000114E-1
8.696287900E-1,1.404999971E0,-2.098999977E0,-3.260000050E-1
8.745908470E-1,1.350999951E0,-2.154000044E0,-5.939999819E-1
8.795530770E-1,1.320000052E0,-2.098000050E0,-3.070000112E-1
8.845152310E-1,1.421000004E0,-1.917000055E0,5.700000003E-2
8.894776260E-1,1.659000039E0,-1.733999968E0,6.809999943E-1
8.944398570E-1,2.239000082E0,-1.876000047E0,1.154000044E0
8.994020100E-1,3.015000105E0,-2.003999949E0,1.779000044E0
9.043641400E-1,3.372999907E0,-2.022000074E0,2.569000006E0
9.093265250E-1,3.614000082E0,-1.957999945E0,3.293999910E0
9.142886790E-1,3.602999926E0,-1.909999967E0,3.858999968E0
9.192508950E-1,3.668999910E0,-2.028000116E0,4.022999763E0
9.242132790E-1,3.441999912E0,-2.137000084E0,3.986999989E0
9.291754330E-1,2.892999887E0,-2.112999916E0,3.861999989E0
9.341376060E-1,2.456000090E0,-2.270999908E0,3.686000109E0
9.390998370E-1,2.046999931E0,-2.365999937E0,3.500999928E0
